的	de	4828294
了	le	1500186
我	wo	1192789
是	shi	1180957
在	zai	974740
你	ni	973526
和	he	664874
有	you	613906
不	bu	590643
就	jiu	558432
也	ye	404388
都	dou	401877
要	yao	396900
吧	ba	385205
好	hao	378543
他	ta	343908
说	shuo	338803
去	qu	330876
到	dao	296879
没	mei	295035
上	shang	284918
对	dui	279642
还	hai	279642
那	na	269381
人	ren	250285
个	ge	245957
看	kan	245039
中	zhong	243213
呢	ne	239902
来	lai	233997
吗	ma	220136
为	wei	210479
会	hui	208391
她	ta	204022
与	yu	202250
给	gei	191937
等	deng	182604
这	zhe	178109
用	yong	168186
把	ba	165484
下	xia	163638
恩	en	162015
能	neng	161410
很	hen	160208
做	zuo	154137
多	duo	154137
想	xiang	141790
被	bei	138128
点	dian	137956
而	er	135908
后	hou	134560
一	yi	134392
又	you	132893
从	cong	126905
再	zai	120734
将	jiang	119239
时	shi	117616
但	dan	115581
过	guo	111897
么	me	110511
打	da	107925
大	da	106058
年	nian	105268
啦	la	102549
地	di	101785
以	yi	100400
买	mai	100275
里	li	98050
让	rang	97928
小	xiao	92013
着	zhe	87757
先	xian	84326
啊	a	83803
或	huo	83282
呀	ya	79232
并	bing	79035
找	zhao	78056
新	xin	77282
及	ji	77186
得	de	75568
跟	gen	74632
于	yu	73708
太	tai	71180
嘛	ma	70738
号	hao	70299
日	ri	70124
才	cai	69949
发	fa	69515
可	ke	68911
比	bi	68654
玩	wan	67131
们	men	65806
最	zui	65806
月	yue	65397
吃	chi	65315
真	zhen	65153
它	ta	58897
其	qi	58168
话	hua	57807
请	qing	55964
钱	qian	55755
叫	jiao	55685
出	chu	55547
开	kai	54927
哈	ha	53642
当	dang	52846
家	jia	52256
向	xiang	52126
问	wen	49777
之	zhi	49530
更	geng	48734
该	gai	48251
别	bie	48130
走	zou	48130
快	kuai	48011
前	qian	46770
由	you	46538
高	gao	45167
您	nin	44386
加	jia	44110
天	tian	44055
所	suo	44055
却	que	43347
已	yi	43347
谁	shui	41704
内	nei	40881
写	xie	40881
啥	sha	40526
搞	gao	39924
老	lao	39924
事	shi	38942
只	zhi	38748
拿	na	38603
带	dai	38459
如	ru	37936
死	si	36726
行	xing	35822
卖	mai	35689
晕	yun	35555
地	de	35028
像	xiang	34680
使	shi	34422
刚	gang	33324
成	cheng	33117
换	huan	32585
无	wu	32585
嗯	n	31982
嗯	ng	31982
哪	na	31902
回	hui	31665
爱	ai	31546
听	ting	31156
少	shao	31117
元	yuan	30885
卡	ka	30770
靠	kao	30617
帮	bang	30125
算	suan	29938
者	zhe	29752
忙	mang	29641
起	qi	29383
各	ge	29019
分	fen	28803
学	xue	28803
总	zong	28517
则	ze	28270
水	shui	27608
改	gai	27437
咯	lo	27403
唉	ai	27403
张	zhang	27300
三	san	26761
连	lian	26463
见	jian	26266
放	fang	26038
车	che	26005
万	wan	25941
全	quan	25876
按	an	25812
区	qu	25334
早	zao	25302
拉	la	25270
偶	ou	24864
本	ben	24833
页	ye	24679
进	jin	24648
性	xing	24434
弄	nong	24374
第	di	24313
完	wan	24072
同	tong	24012
系	xi	23892
花	hua	23744
怕	pa	22787
女	nv	22702
讲	jiang	22589
杀	sha	22449
组	zu	22421
干	gan	22116
错	cuo	22088
些	xie	21951
住	zhu	21924
跑	pao	21815
名	ming	21788
次	ci	21278
睡	shui	21225
网	wang	21198
装	zhuang	20962
挺	ting	20754
掉	diao	20677
王	wang	20625
图	tu	20548
正	zheng	20523
外	wai	20471
路	lu	20471
二	er	20319
生	sheng	20268
头	tou	20243
应	ying	20243
心	xin	20168
因	yin	19893
子	zi	19769
强	qiang	19428
作	zuo	19307
类	lei	19235
送	song	19211
每	mei	19115
书	shu	19044
乖	guai	18529
法	fa	18506
拍	pai	18299
表	biao	18141
市	shi	18050
撒	sa	18028
至	zhi	17782
接	jie	17760
美	mei	17650
未	wei	17562
办	ban	17518
非	fei	17475
哎	ai	17453
级	ji	17388
即	ji	17366
此	ci	17237
版	ban	17087
副	fu	17045
差	cha	16939
俺	an	16897
收	shou	16855
男	nan	16792
了	liao	16750
字	zi	16750
股	gu	16667
几	ji	16625
考	kao	16604
两	liang	16584
转	zhuan	16584
块	kuai	16563
线	xian	16338
周	zhou	16297
手	shou	16196
道	dao	16155
黄	huang	16135
便	bian	16095
米	mi	15995
聊	liao	15975
猪	zhu	15935
取	qu	15876
哇	wa	15817
低	di	15738
难	nan	15640
哦	o	15582
儿	er	15408
包	bao	15389
受	shou	15389
阿	a	15389
喝	he	15293
白	bai	15236
金	jin	15142
管	guan	15029
近	jin	15029
四	si	15010
定	ding	14898
够	gou	14732
交	jiao	14714
门	men	14714
样	yang	14677
李	li	14513
笑	xiao	14513
传	chuan	14495
自	zi	14405
慢	man	14352
边	bian	14352
刷	shua	14316
黑	hei	14316
型	xing	14298
穿	chuan	14227
越	yue	14156
位	wei	14033
贵	gui	13963
长	chang	13911
部	bu	13825
得	dei	13791
据	ju	13756
怪	guai	13739
牛	niu	13739
处	chu	13722
选	xuan	13705
站	zhan	13654
倒	dao	13603
省	sheng	13586
谈	tan	13518
称	cheng	13485
台	tai	13451
群	qun	13451
汗	han	13318
累	lei	13301
经	jing	13284
查	cha	13251
象	xiang	13251
变	bian	13218
半	ban	13186
数	shu	13153
格	ge	13038
面	mian	13022
红	hong	12941
陈	chen	12941
五	wu	12861
方	fang	12765
顶	ding	12733
楼	lou	12718
读	du	12702
某	mou	12623
乱	luan	12576
条	tiao	12498
远	yuan	12498
马	ma	12498
海	hai	12451
单	dan	12374
相	xiang	12374
光	guang	12327
热	re	12281
且	qie	12175
咋	za	12160
种	zhong	12160
挂	gua	12144
风	feng	12099
林	lin	12069
满	man	12039
额	e	12039
谁	shei	11979
化	hua	11875
班	ban	11860
滴	di	11816
涨	zhang	11728
关	guan	11612
店	dian	11612
机	ji	11612
安	an	11597
坐	zuo	11583
俄	e	11525
度	du	11468
约	yue	11468
飞	fei	11468
刘	liu	11439
歌	ge	11397
信	xin	11312
报	bao	11312
若	ruo	11227
原	yuan	11213
饭	fan	11199
文	wen	11186
晚	wan	11186
量	liang	11116
村	cun	11088
式	shi	11075
空	kong	10992
