一个	yi ge	yg	373855
没有	mei you	my	325559
我们	wo men	wm	322329
可以	ke yi	ky	304372
什么	shen me	sm	295403
这个	zhe ge	zg	253424
呵呵	he he	hh	249662
现在	xian zai	xz	246263
自己	zi ji	zj	239007
就是	jiu shi	js	211267
不是	bu shi	bs	173509
怎么	zen me	zm	173077
还是	hai shi	hs	166934
他们	ta men	tm	156264
如果	ru guo	rg	155100
知道	zhi dao	zd	144465
时候	shi hou	sh	143389
问题	wen ti	wt	137270
这样	zhe yang	zy	131084
已经	yi jing	yj	129784
哈哈	ha ha	hh	121640
因为	yin wei	yw	121338
公司	gong si	gs	118498
那个	na ge	ng	117323
今天	jin tian	jt	109961
工作	gong zuo	gz	107925
中国	zhong guo	zg	106588
但是	dan shi	ds	105663
不过	bu guo	bg	103577
可能	ke neng	kn	100901
应该	ying gai	yg	97684
所以	suo yi	sy	95995
你们	ni men	nm	95399
一下	yi xia	yx	94335
时间	shi jian	sj	92935
都是	dou shi	ds	91784
还有	hai you	hy	86132
进行	jin xing	jx	84537
觉得	jue de	jd	83907
需要	xu yao	xy	82765
不能	bu neng	bn	80727
开始	kai shi	ks	78154
东西	dong xi	dx	77090
那么	na me	nm	76230
这么	zhe me	zm	74446
喜欢	xi huan	xh	72704
比较	bi jiao	bj	72343
然后	ran hou	rh	69601
一些	yi xie	yx	69428
不会	bu hui	bh	68739
大家	da jia	dj	67803
很多	hen duo	hd	66548
看到	kan dao	kd	65642
不要	bu yao	by	65478
一样	yi yang	yy	64748
这些	zhe xie	zx	62997
也是	ye shi	ys	62372
感觉	gan jue	gj	61600
看看	kan kan	kk	59859
其实	qi shi	qs	59636
出来	chu lai	cl	59118
朋友	peng you	py	58897
明天	ming tian	mt	58168
以后	yi hou	yh	58095
只是	zhi shi	zs	58095
这里	zhe li	zl	57305
而且	er qie	eq	56949
系统	xi tong	xt	56454
通过	tong guo	tg	56313
一定	yi ding	yd	56103
使用	shi yong	sy	55824
一起	yi qi	yq	55755
企业	qi ye	qy	54722
或者	huo zhe	hz	54518
发展	fa zhan	fz	54045
市场	shi chang	sc	54045
一直	yi zhi	yz	53242
北京	bei jing	bj	53176
其他	qi ta	qt	52912
好像	hao xiang	hx	52780
产品	chan pin	cp	51481
这种	zhe zhong	zz	51161
事情	shi qing	sq	51097
的人	de ren	dr	50970
为什么	wei shen me	wsm	50907
发现	fa xian	fx	50590
只有	zhi you	zy	50276
地方	di fang	df	50276
希望	xi wang	xw	50276
情况	qing kuang	qk	50151
要求	yao qiu	yq	49284
电话	dian hua	dh	49100
信息	xin xi	xx	48673
多少	duo shao	ds	47891
提供	ti gong	tg	47772
一般	yi ban	yb	47653
谢谢	xie xie	xx	47594
回来	hui lai	hl	47004
主要	zhu yao	zy	46887
不错	bu cuo	bc	46770
生活	sheng huo	sh	46770
上海	shang hai	sh	46654
目前	mu qian	mq	45167
直接	zhi jie	zj	44386
所有	suo you	sy	44275
晚上	wan shang	ws	43945
技术	ji shu	js	43401
方面	fang mian	fm	43347
出现	chu xian	cx	43293
虽然	sui ran	sr	43131
为了	wei le	wl	43078
支持	zhi chi	zc	43078
价格	jia ge	jg	42438
美国	mei guo	mg	42227
是不是	shi bu shi	sbs	42122
我的	wo de	wd	41860
选择	xuan ze	xz	41445
以前	yi qian	yq	41394
项目	xiang mu	xm	41136
非常	fei chang	fc	41085
里面	li mian	lm	40932
别人	bie ren	br	40576
国家	guo jia	gj	40475
以及	yi ji	yj	39676
你的	ni de	nd	39676
同时	tong shi	ts	39627
对于	dui yu	dy	39578
两个	liang ge	lg	39430
准备	zhun bei	zb	39430
管理	guan li	gl	39332
一点	yi dian	yd	39136
肯定	ken ding	kd	38942
这是	zhe shi	zs	38748
昨天	zuo tian	zt	38603
认为	ren wei	rw	38603
服务	fu wu	fw	38555
最后	zui hou	zh	38459
成为	cheng wei	cw	38459
网站	wang zhan	wz	38411
作为	zuo wei	zw	37936
哪里	na li	nl	37936
起来	qi lai	ql	37936
之后	zhi hou	zh	37747
继续	ji xu	jx	37700
手机	shou ji	sj	37653
真的	zhen de	zd	37606
不同	bu tong	bt	37559
用户	yong hu	yh	37419
由于	you yu	yy	37419
结果	jie guo	jg	37326
估计	gu ji	gj	37233
最近	zui jin	zj	36818
影响	ying xiang	yx	36726
学校	xue xiao	xx	36498
孩子	hai zi	hz	36407
好的	hao de	hd	36136
设计	she ji	sj	36001
任务	ren wu	rw	35912
关系	guan xi	gx	35644
部分	bu fen	bf	35467
活动	huo dong	hd	35379
必须	bi xu	bx	34984
网络	wang luo	wl	34723
研究	yan jiu	yj	34680
如何	ru he	rh	34508
当然	dang ran	dr	34508
那些	nei xie	nx	34379
功能	gong neng	gn	34251
可是	ke shi	ks	34208
学生	xue sheng	xs	33996
数据	shu ju	sj	33827
告诉	gao su	gs	33658
给我	gei wo	gw	33658
方式	fang shi	fs	33616
内容	nei rong	nr	33241
一次	yi ci	yc	33200
那里	na li	nl	33200
女人	nv ren	nr	33076
是否	shi fou	sf	33035
电脑	dian nao	dn	33035
意思	yi si	ys	32504
联系	lian xi	lx	32464
游戏	you xi	yx	32383
老师	lao shi	ls	32262
只要	zhi yao	zy	32102
特别	te bie	tb	32102
个人	ge ren	gr	32022
文件	wen jian	wj	31862
有点	you dian	yd	31823
能够	neng gou	ng	31823
软件	ruan jian	rj	31744
几个	ji ge	jg	31704
过去	guo qu	gq	31665
学习	xue xi	xx	31468
社会	she hui	sh	31390
过来	guo lai	gl	31233
给你	gei ni	gn	31117
男人	nan ren	nr	31039
了解	liao jie	lj	31001
只能	zhi neng	zn	30962
吃饭	chi fan	cf	30885
世界	shi jie	sj	30808
不好	bu hao	bh	30541
不用	bu yong	by	30503
的话	de hua	dh	30389
表示	biao shi	bs	30351
嘿嘿	hei hei	hh	30087
发生	fa sheng	fs	29900
得到	de dao	dd	29752
同学	tong xue	tx	29715
基本	ji ben	jb	29715
处理	chu li	cl	29715
老婆	lao po	lp	29641
照片	zhao pian	zp	29567
客户	ke hu	kh	29530
方法	fang fa	ff	29383
完成	wan cheng	wc	29347
关于	guan yu	gy	28983
有些	you xie	yx	28983
当时	dang shi	ds	28947
刚才	gang cai	gc	28875
实现	shi xian	sx	28767
原来	yuan lai	yl	28696
包括	bao kuo	bk	28660
解决	jie jue	jj	28553
中的	zhong de	zd	28517
一种	yi zhong	yz	28059
反正	fan zheng	fz	27816
政府	zheng fu	zf	27677
根据	gen ju	gj	27677
重要	zhong yao	zy	27643
成功	cheng gong	cg	27437
考虑	kao lv	kl	27403
下载	xia zai	xz	27334
能力	neng li	nl	27266
过程	guo cheng	gc	27165
他的	ta de	td	27030
分析	fen xi	fx	27030
机会	ji hui	jh	26962
下午	xia wu	xw	26828
提高	ti gao	tg	26728
认识	ren shi	rs	26695
注意	zhu yi	zy	26662
介绍	jie shao	js	26562
之前	zhi qian	zq	26463
存在	cun zai	cz	26430
日本	ri ben	rb	26430
进入	jin ru	jr	26430
其中	qi zhong	qz	26299
今年	jin nian	jn	26200
增加	zeng jia	zj	26070
记者	ji zhe	jz	26005
出去	chu qu	cq	25973
无法	wu fa	wf	25973
国内	guo nei	gn	25779
决定	jue ding	jd	25683
人家	ren jia	rj	25556
相关	xiang guan	xg	25428
完全	wan quan	wq	25334
单位	dan wei	dw	25176
组织	zu zhi	zz	25176
有人	you ren	yr	25051
测试	ce shi	cs	24989
还要	hai yao	hy	24989
业务	ye wu	yw	24958
任何	ren he	rh	24926
后来	hou lai	hl	24926
正在	zheng zai	zz	24926
专业	zhuan ye	zy	24772
之间	zhi jian	zj	24556
每天	mei tian	mt	24404
除了	chu le	cl	24283
建议	jian yi	jy	24252
论坛	lun tan	lt	24162
投资	tou zi	tz	24132
具有	ju you	jy	24042
空间	kong jian	kj	23982
计划	ji hua	jh	23982
不行	bu xing	bx	23714
原因	yuan yin	yy	23567
开发	kai fa	kf	23508
建立	jian li	jl	23362
名字	ming zi	mz	23304
参加	can jia	cj	23246
回家	hui jia	hj	23246
人员	ren yuan	ry	23159
全部	quan bu	qb	23131
回去	hui qu	hq	23044
睡觉	shui jiao	sj	23044
建设	jian she	js	23016
显示	xian shi	xs	22987
甚至	shen zhi	sz	22901
最好	zui hao	zh	22844
我国	wo guo	wg	22844
找到	zhao dao	zd	22844
获得	huo de	hd	22787
到了	dao le	dl	22702
这次	zhe ci	zc	22646
部门	bu men	bm	22646
人们	ren men	rm	22618
标准	biao zhun	bz	22561
经济	jing ji	jj	22505
控制	kong zhi	kz	22393
网上	wang shang	ws	22365
程序	cheng xu	cx	22310
简单	jian dan	jd	22254
让我	rang wo	rw	22143
一切	yi qie	yq	22116
效果	xiao guo	xg	22006
本来	ben lai	bl	22006
上班	shang ban	sb	21869
哪个	na ge	ng	21733
城市	cheng shi	cs	21733
真是	zhen shi	zs	21679
也许	ye xu	yx	21545
好了	hao le	hl	21545
电影	dian ying	dy	21545
达到	da dao	dd	21518
具体	ju ti	jt	21384
速度	su du	sd	21384
负责	fu ze	fz	21357
环境	huan jing	hj	21251
小时	xiao shi	xs	21172
经常	jing chang	jc	21172
银行	yin hang	yh	21172
办法	ban fa	bf	21119
消息	xiao xi	xx	21040
提出	ti chu	tc	21014
生产	sheng chan	sc	21014
申请	shen qing	sq	20988
大学	da xue	dx	20962
看来	kan lai	kl	20962
说话	shuo hua	sh	20962
因此	yin ci	yc	20936
我是	wo shi	ws	20858
来说	lai shuo	ls	20754
你好	ni hao	nh	20728
相信	xiang xin	xx	20728
许多	xu duo	xd	20728
说明	shuo ming	sm	20702
作用	zuo yong	zy	20651
安全	an quan	aq	20599
各种	ge zhong	gz	20574
终于	zhong yu	zy	20574
真正	zhen zheng	zz	20548
记得	ji de	jd	20497
全国	quan guo	qg	20471
正常	zheng chang	zc	20446
调整	tiao zheng	tz	20420
操作	cao zuo	cz	20395
领导	ling dao	ld	20395
没事	mei shi	ms	20370
资料	zi liao	zl	20370
采用	cai yong	cy	20370
下来	xia lai	xl	20319
努力	nu li	nl	20294
另外	ling wai	lw	20294
修改	xiu gai	xg	20268
国际	guo ji	gj	20243
有关	you guan	yg	20243
行业	hang ye	hy	20243
以上	yi shang	ys	20218
图片	tu pian	tp	20218
接受	jie shou	js	20218
容易	rong yi	ry	20142
才能	cai neng	cn	20142
有没有	you mei you	ymy	20142
设置	she zhi	sz	20067
妈妈	ma ma	mm	20017
产生	chan sheng	cs	19968
以为	yi wei	yw	19968
明白	ming bai	mb	19968
上面	shang mian	sm	19794
历史	li shi	ls	19769
合作	he zuo	hz	19647
目标	mu biao	mb	19598
代表	dai biao	db	19525
我也	wo ye	wy	19500
需求	xu qiu	xq	19500
总是	zong shi	zs	19476
这一	zhe yi	zy	19452
第一	di yi	dy	19403
安装	an zhuang	az	19379
广告	guang gao	gg	19307
按照	an zhao	az	19307
那样	na yang	ny	19307
股票	gu piao	gp	19235
也有	ye you	yy	19187
也不	ye bu	yb	19139
文化	wen hua	wh	19115
不断	bu duan	bd	19068
确定	que ding	qd	19020
服务器	fu wu qi	fwq	18997
好好	hao hao	hh	18973
销售	xiao shou	xs	18926
左右	zuo you	zy	18902
麻烦	ma fan	mf	18902
中心	zhong xin	zx	18879
应用	ying yong	yy	18808
表现	biao xian	bx	18785
如此	ru ci	rc	18761
经验	jing yan	jy	18761
不少	bu shao	bs	18691
根本	gen ben	gb	18691
关注	guan zhu	gz	18622
文章	wen zhang	wz	18598
经过	jing guo	jg	18598
差不多	cha bu duo	cbd	18575
地址	di zhi	dz	18483
条件	tiao jian	tj	18437
比如	bi ru	br	18414
都有	dou you	dy	18391
确实	que shi	qs	18345
形成	xing cheng	xc	18299
整个	zheng ge	zg	18299
帮助	bang zhu	bz	18231
家里	jia li	jl	18208
精神	jing shen	js	18163
身体	shen ti	st	18163
水平	shui ping	sp	18118
资源	zi yuan	zy	18118
马上	ma shang	ms	18050
似乎	si hu	sh	17983
休息	xiu xi	xx	17938
香港	xiang gang	xg	17916
突然	tu ran	tr	17871
一天	yi tian	yt	17849
刚刚	gang gang	gg	17849
是个	shi ge	sg	17849
明显	ming xian	mx	17805
收到	shou dao	sd	17782
并且	bing qie	bq	17738
教育	jiao yu	jy	17716
行为	xing wei	xw	17716
带来	dai lai	dl	17650
要是	yao shi	ys	17628
造成	zao cheng	zc	17606
上的	shang de	sd	17540
清楚	qing chu	qc	17540
房子	fang zi	fz	17475
深圳	shen zhen	sz	17475
利用	li yong	ly	17431
就会	jiu hui	jh	17431
大概	da gai	dg	17410
重新	chong xin	cx	17410
安排	an pai	ap	17388
理解	li jie	lj	17345
资金	zi jin	zj	17280
不到	bu dao	bd	17258
先生	xian sheng	xs	17215
变化	bian hua	bh	17215
拥有	yong you	yy	17173
推荐	tui jian	tj	17173
博客	bo ke	bk	17151
状态	zhuang tai	zt	17109
保证	bao zheng	bz	17087
美女	mei nv	mn	17045
难道	nan dao	nd	17045
干嘛	gan ma	gm	17002
品牌	pin pai	pp	16876
打开	da kai	dk	16876
改变	gai bian	gb	16876
不想	bu xiang	bx	16834
有个	you ge	yg	16750
比赛	bi sai	bs	16729
保持	bao chi	bc	16708
超过	chao guo	cg	16708
地区	di qu	dq	16667
下面	xia mian	xm	16646
广州	guang zhou	gz	16646
楼主	lou zhu	lz	16625
工程	gong cheng	gc	16604
位置	wei zhi	wz	16584
视频	shi pin	sp	16584
回答	hui da	hd	16563
看见	kan jian	kj	16522
自然	zi ran	zr	16522
方便	fang bian	fb	16501
快乐	kuai le	kl	16481
还在	hai zai	hz	16481
规定	gui ding	gd	16419
分钟	fen zhong	fz	16399
声音	sheng yin	sy	16399
心里	xin li	xl	16399
幸福	xing fu	xf	16358
音乐	yin yue	yy	16358
设备	she bei	sb	16338
媒体	mei ti	mt	16256
那是	na shi	ns	16256
漂亮	piao liang	pl	16216
更新	geng xin	gx	16196
老板	lao ban	lb	16196
基金	ji jin	jj	16176
实在	shi zai	sz	16176
密码	mi ma	mm	16075
慢慢	man man	mm	16075
第一次	di yi ci	dyc	16075
导致	dao zhi	dz	16035
很好	hen hao	hh	15995
讨论	tao lun	tl	15975
上网	shang wang	sw	15935
版本	ban ben	bb	15935
至少	zhi shao	zs	15916
基础	ji chu	jc	15896
通知	tong zhi	tz	15896
以下	yi xia	yx	15856
结婚	jie hun	jh	15836
结束	jie shu	js	15836
未来	wei lai	wl	15797
每个	mei ge	mg	15679
我想	wo xiang	wx	15660
检查	jian cha	jc	15621
还没	hai mei	hm	15621
曾经	ceng jing	cj	15582
治疗	zhi liao	zl	15582
随便	sui bian	sb	15582
医院	yi yuan	yy	15543
离开	li kai	lk	15543
上次	shang ci	sc	15524
集团	ji tuan	jt	15524
严重	yan zhong	yz	15504
发表	fa biao	fb	15504
相当	xiang dang	xd	15504
怎么样	zen me yang	zmy	15408
不仅	bu jin	bj	15370
衣服	yi fu	yf	15351
属于	shu yu	sy	15332
实际	shi ji	sj	15312
购买	gou mai	gm	15293
政策	zheng ce	zc	15274
注册	zhu ce	zc	15236
更加	geng jia	gj	15198
居然	ju ran	jr	15142
这边	zhe bian	zb	15142
加强	jia qiang	jq	15104
报告	bao gao	bg	15104
有效	you xiao	yx	15104
保护	bao hu	bh	15066
并不	bing bu	bb	15048
目的	mu di	md	15048
我就	wo jiu	wj	15010
记录	ji lu	jl	15010
质量	zhi liang	zl	14991
坚持	jian chi	jc	14954
新的	xin de	xd	14954
而已	er yi	ey	14806
机器	ji qi	jq	14732
郁闷	yu men	ym	14732
宝宝	bao bao	bb	14714
实施	shi shi	ss	14714
模式	mo shi	ms	14714
好多	hao duo	hd	14695
是啊	shi a	sa	14695
便宜	pian yi	py	14659
怎样	zen yang	zy	14659
让人	rang ren	rr	14659
关键	guan jian	gj	14622
后面	hou mian	hm	14622
培训	pei xun	px	14586
故事	gu shi	gs	14550
意见	yi jian	yj	14532
爱情	ai qing	aq	14477
都会	du hui	dh	14477
看了	kan le	kl	14441
台湾	tai wan	tw	14405
发布	fa bu	fb	14387
方案	fang an	fa	14370
每次	mei ci	mc	14370
大量	da liang	dl	14352
同样	tong yang	ty	14316
到底	dao di	dd	14298
永远	yong yuan	yy	14280
老公	lao gong	lg	14280
受到	shou dao	sd	14262
看着	kan zhe	kz	14227
绝对	jue dui	jd	14227
来了	lai le	ll	14174
于是	yu shi	ys	14121
感情	gan qing	gq	14121
太多	tai duo	td	14103
愿意	yuan yi	yy	14068
对方	dui fang	df	14051
压力	ya li	yl	14033
随着	sui zhe	sz	14033
网友	wang you	wy	14016
机构	ji gou	jg	13998
不管	bu guan	bg	13963
考试	kao shi	ks	13946
交流	jiao liu	jl	13929
之一	zhi yi	zy	13911
毕业	bi ye	by	13911
价值	jia zhi	jz	13894
免费	mian fei	mf	13894
一年	yi nian	yn	13825
平台	ping tai	pt	13808
成本	cheng ben	cb	13808
配置	pei zhi	pz	13808
几乎	ji hu	jh	13791
生命	sheng ming	sm	13791
制度	zhi du	zd	13756
首先	shou xian	sx	13756
变成	bian cheng	bc	13739
她们	ta men	tm	13722
升级	sheng ji	sj	13705
打算	da suan	ds	13705
一家	yi jia	yj	13688
